,category,src,news
0,籃球,,「我不是洋將、我是臺灣人」──放棄美國籍、在臺落地生根逾 7 年，籃球明星戴維斯的故事 ｜ 世界看臺灣 《換》人說說看／換日線編輯部 ｜ 換日線 Crossing
1,健身,The News Lens 關鍵評論網,跑到一半突然腹部好痛：「運動岔氣」是怎麼回事？ - The News Lens 關鍵評論網
2,棒球,The News Lens 關鍵評論網,春訓被電又怎樣？談職棒春訓和秋訓目的 - The News Lens 關鍵評論網
3,籃球,fanpiece,LeBron James 連番爆扣得分，生涯總得分突破 34000 大關 | 籃球場 | 籃球地帶 - fanpiece
4,足球,fanpiece,疫情令港隊可以「等埋」費七 | 守拙 | 球迷世界 - fanpiece
5,籃球,fanpiece,被懷疑染上「武漢肺炎」Trae Young這樣回應 | 男籃天空高掛我的夢 | 籃球地帶 - fanpiece
6,戶外路跑,,【知識】穿 Nike Vaporfly 跑步真的比較省力嗎? ｜ 運動筆記
7,足球,fanpiece,柏度比韋利安更值得一紙合約 | 評球品足小球僮 | 球迷世界 - fanpiece
8,籃球,fanpiece,傳得再高再差沒在怕！Zion Williamson依舊完成高難度「打板」空接！ | 男籃天空高掛我的夢 | 籃球地帶 - fanpiece
9,足球,fanpiece,哈利威爾遜  來季或代替拉蘭拿位置 | YNWA | 球迷世界 - fanpiece
10,籃球,fanpiece,快艇為Joakim Noah提供十天合同 將在下週加入球隊 | 男籃天空高掛我的夢 | 籃球地帶 - fanpiece
11,高爾夫,高爾夫文摘,瓦臣短打祕笈 - 高爾夫文摘
12,健身,運動星球 sportsplanetmag,Louise Green談每個人如何成為運動員 | 運動星球 sportsplanetmag
13,籃球,運動視界 Sports Vision,圖表解析NBA-逐漸消失於聯盟中的進攻籃板 - NBA - 籃球 | 運動視界 Sports Vision
14,健身,運動星球 sportsplanetmag,Louise Green談每個人如何成為運動員 | 運動星球 sportsplanetmag
15,籃球,運動視界 Sports Vision,圖表解析NBA-逐漸消失於聯盟中的進攻籃板 - NBA - 籃球 | 運動視界 Sports Vision
16,網球,FOX體育臺,網球》拚臺維斯盃世界組一級 中華網球代表隊聽牌 - 最新體育新聞，即時比分，賽程和戰績 | FOX體育臺
17,籃球,運動視界 Sports Vision,Kawhi Not?本季暴龍值得尊敬的3大原因 - NBA - 籃球 | 運動視界 Sports Vision
18,籃球,Yahoo奇摩運動 — 108學年度HBL男子組決賽戰報。能仁家商,HBL官方網站- Yahoo奇摩運動 — 108學年度HBL男子組決賽戰報。能仁家商
19,籃球,NBA 台灣,洛城雙雄補強角力 快艇簽下兩屆明星中鋒諾亞 | NBA 台灣
20,籃球,運動視界 Sports Vision,108HBL／108學年度HBL決賽賽程 - HBL 高中籃球聯賽 - 籃球 | 運動視界 Sports Vision
21,籃球,NBA 台灣,柯瑞傷癒復出 仍盼為美國隊出征東京奧運 | NBA 台灣
22,籃球,NBA 台灣,客場再戰湖人 布萊德索：做好打硬仗的準備 | NBA 台灣
23,籃球,NBA 台灣,史上第3人！ 詹姆斯達成最年輕34000分紀錄 | NBA 台灣
24,籃球,NBA 台灣,波爾辛吉斯全方位演出 獨行俠終結灰熊3連勝 | NBA 台灣
